Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
118,Kel'el Ware,21,MIA,C,72,32,22.1,4.4,8.4,.526,1.1,3.0,.380,3.3,5.4,.605,.593,1.0,1.3,.761,2.9,6.1,9.0,0.7,0.8,1.0,0.8,1.6,10.9,,wareke01
119,Dennis Schröder,32,2TM,PG,65,16,24.6,3.6,9.1,.400,1.1,3.4,.327,2.5,5.7,.444,.461,2.4,2.9,.827,0.4,2.3,2.7,4.8,0.8,0.2,1.8,1.5,10.8,,schrode01
120,Isaiah Joe,26,OKC,SG,67,9,21.5,3.4,7.6,.440,2.4,6.0,.408,0.9,1.7,.559,.600,1.6,1.7,.889,0.5,2.1,2.6,1.4,0.7,0.2,0.6,1.7,10.7,,joeis01
121,Khris Middleton,34,2TM,SF,57,46,23.5,3.8,8.9,.424,1.1,3.0,.357,2.7,5.9,.457,.483,1.9,2.2,.867,0.9,3.0,3.8,2.9,0.7,0.2,1.8,2.4,10.6,,middlkh01
122,Jock Landale,30,2TM,C,68,27,22.1,4.1,8.1,.515,1.1,2.8,.383,3.1,5.2,.586,.582,1.2,1.9,.635,2.7,3.0,5.7,1.7,0.5,0.5,0.9,2.2,10.6,,landajo01
123,Tari Eason,24,HOU,PF,54,33,26.0,4.0,9.7,.410,1.6,4.4,.366,2.4,5.3,.448,.493,0.8,1.1,.750,2.1,4.2,6.3,1.5,1.2,0.5,1.4,2.3,10.4,,easonta01
124,Ziaire Williams,24,BRK,SF,55,13,22.9,3.3,7.7,.430,1.5,4.5,.343,1.8,3.2,.554,.531,2.1,2.5,.853,0.5,1.8,2.4,1.0,1.4,0.4,1.1,2.1,10.3,,willizi02
125,Marvin Bagley III,26,2TM,PF,56,10,20.0,4.2,6.8,.616,0.3,0.8,.452,3.8,6.0,.637,.642,1.6,2.5,.652,2.5,3.6,6.1,1.4,0.5,0.7,1.1,2.1,10.3,,baglema01
126,Bub Carrington,20,WAS,PG,76,42,27.6,3.6,8.8,.417,2.0,4.9,.396,1.7,3.8,.443,.529,1.0,1.4,.728,0.4,3.0,3.5,4.6,0.6,0.2,2.3,2.3,10.2,,carrica01
127,Harrison Barnes,33,SAS,PF,71,52,26.1,3.4,7.6,.450,1.9,4.8,.387,1.6,2.8,.557,.572,1.4,1.6,.828,0.8,2.1,2.9,2.0,0.7,0.2,0.8,1.1,10.1,,barneha02
128,Isaiah Stewart,24,DET,C,55,13,23.1,3.8,7.0,.541,0.7,2.1,.333,3.1,4.9,.632,.592,1.7,2.3,.760,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,10.0,,stewais01
129,Royce O'Neale,32,PHO,SF,73,67,28.9,3.4,8.2,.418,2.8,6.8,.407,0.7,1.4,.475,.588,0.4,0.5,.722,0.8,4.1,4.9,2.8,1.1,0.4,1.4,2.3,10.0,,onealro01
130,Neemias Queta,26,BOS,C,71,70,25.4,4.2,6.5,.641,0.0,0.1,.000,4.2,6.4,.651,.641,1.7,2.4,.698,2.9,5.4,8.4,1.6,0.8,1.3,1.0,2.8,10.0,,quetane01
131,Kevin Huerter,27,2TM,SG,64,13,22.4,3.9,8.6,.451,1.4,4.7,.301,2.5,4.0,.628,.533,0.8,1.0,.761,0.5,3.0,3.5,2.5,0.9,0.5,1.0,1.7,10.0,,huertke01
132,Tristan Da Silva,24,ORL,SF,71,33,24.7,3.6,8.1,.448,1.6,4.2,.379,2.0,3.9,.524,.547,1.1,1.2,.906,0.7,2.9,3.7,1.5,0.9,0.3,0.8,1.5,10.0,,dasiltr01
133,Ausar Thompson,23,DET,SF,67,66,25.9,4.1,8.0,.516,0.1,0.3,.261,4.0,7.7,.527,.521,1.5,2.7,.566,2.1,3.7,5.8,2.9,2.0,0.9,1.5,2.8,9.9,,thompau01
